evidence_table,check,passed,observed,required
qadd_v420_g2_checks.csv,sine AC-RMS,True,0.07071067811865474,0.07071067811865475
qadd_v420_g2_checks.csv,sine dBFS,True,-23.010299956639813,-23.010299956639813
qadd_v420_g2_checks.csv,all raw estimands reconstruct,True,11/11,11/11
qadd_v420_g2_checks.csv,canonical strict speech receives no second guard,True,direct=1340; double=1290,direct > double and applied guard=0
qadd_v420_g3_checks.csv,pause level gain equivariance,True,0.0,<1e-8 dB
qadd_v420_g3_checks.csv,relative/shape gain invariance,True,3.552713678800501e-15,<1e-8
qadd_v420_g3_checks.csv,polarity invariance,True,evaluated,all <1e-8
qadd_v420_g3_checks.csv,DC-offset invariance after local mean removal,True,evaluated,all <1e-8
qadd_v420_g3_checks.csv,common time-shift invariance,True,evaluated,all <1e-8
qadd_v420_g3_checks.csv,lossless codec regression,True,0.0024094670633560966,maximum absolute change <0.01 in native feature units
qadd_v420_g3_checks.csv,lossy codec preflight tolerances,True,0.8768127020302927,all feature-specific tolerance ratios <=1.0
qadd_v420_g4_checks.csv,pause level monotonic with noise dose,True,0.9999999999999999,>0.99
qadd_v420_g4_checks.csv,contrast decreases with noise dose,True,-0.9999999999999999,<-0.99
qadd_v420_g4_checks.csv,contrast rises with independent speech level,True,all noise strata,rho>0.99
qadd_v420_g4_checks.csv,contrast falls with independent pause noise,True,all speech strata,rho<-0.99
qadd_v420_g4_checks.csv,IQR rises with AM depth,True,1.0,>0.95
qadd_v420_g4_checks.csv,white flatness exceeds colored and in-band tonal controls,True,0.5611799960049346,"greater than pink, brown, and 437-Hz tone; 50/60 Hz are below the 80-Hz flatness band"
qadd_v420_g4_checks.csv,hum score rises with injected comb level,True,both 50/60,rho>0.95
qadd_v420_g5_checks.csv,colored/AM noise joint false-positive rate,True,0.0,<=0.05
qadd_v420_g5_checks.csv,off-grid comb joint false-positive rate,True,0.0,<=0.25
qadd_v420_g5_checks.csv,single-tone joint false-positive rate,True,0.0,<=0.10
qadd_v420_g5_checks.csv,50/60-Hz comb sensitivity,True,1.0,>=0.95
qadd_v420_g5_checks.csv,generic breath/competing-speech controls raise recorded pause energy,True,38.19390202464005,>20 dB above low-noise reference
qadd_v420_g5_checks.csv,generic breath/competing-speech controls do not falsely satisfy hum joint evidence,True,0.0,0.0
qadd_v420_g5_checks.csv,competing-talker identity explicitly unresolved,True,generic additive-energy response only,no source-identity claim
qadd_v420_g5_checks.csv,voiced-like confounds explicitly characterized,True,['voiced_like_f0_60'],reported; conditional claim
qadd_v420_g6_preflight_checks.csv,floor-censored level is NaN,True,floor_censored,floor_censored + raw retained
qadd_v420_g6_preflight_checks.csv,spectral support independent of level censoring,True,ok_moderate,feature-specific status
qadd_v420_g6_preflight_checks.csv,insufficient level support is unavailable not zero,True,insufficient_support,insufficient_support + NaN
