#,Domain,Evaluation question,Gate mapping,Status,Evidence,Conclusion
1,Construct validity,Does the observable logically correspond to the stated family?,"G1, G5, G10",PASS,feature registry; freeze contract; B01,"The redefined construct is recorded operating level and level dynamics, not device gain or AGC. All four observables belong to that construct."
2,Estimator validity,Does the mathematical definition measure the intended observable?,"G1, G2, G4",PASS,feature passports; G2 checks; A01-A03,"Median AC-RMS level, within-segment IQR, between-segment MAD, and Theil-Sen drift measure the declared recorded-level summaries."
3,Implementation validity,Does the code implement the definition exactly and reproducibly?,"G1, G2",PASS,executed notebook; qgain_v410.py; 22 tests; freeze manifest,The final values are bitwise equivalent to the validated v4.0.1 estimators; identities are unique and the executed notebook is sealed.
4,Transformation behavior,Are preregistered invariance/equivariance properties satisfied?,G3,PASS,C01-C04; source G3 tables,"Typical level is 1:1 gain-equivariant; dynamics are gain-invariant; polarity, DC, time shift, resampling, and tested codec effects satisfy tolerance."
5,Dose response,Does the estimator respond monotonically and quantitatively to controlled doses?,G4,PASS,A01-A03; source G4 tables,All intended estimators show ordered construct response; drift closely recovers injected dB/min.
6,Discriminant validity,Does the feature avoid or explicitly bound response to competing causes?,G5,CONDITIONAL,B01-B02; G5 checks; registry claim limits,"Spectral redistribution at fixed RMS does not create false dynamics, but speaker intensity and device gain are non-identifiable. Physiology confounding remains high and is explicitly bounded."
7,Support and uncertainty,"Are support, availability, missingness, uncertainty, and exposure represented correctly?",G6,PASS,D01-D04; recording table; drift CI fields,"All values travel with availability, status, support tier, interval count, support duration, and drift uncertainty. Missing is never encoded as zero."
8,Reliability and robustness,Are values stable under reasonable perturbations and repeats?,"G6, G8",CONDITIONAL,E01-E03; H01-H03,Typical level and within-segment IQR are robust; between-segment MAD is moderately sensitive; drift is sensitive and retained only as exploratory/contextual.
9,Interpretability,"Are units, orientation, empirical range, examples, and failure modes clear?","G7, G10",PASS,F01-F04; G01-G08; feature passports,"All features have explicit units, nonordinal interpretation, empirical ranges, signal-linked trajectories, and failure/claim boundaries."
10,Scientific scope,Is evidential maturity and permitted claim stated correctly?,"G1, G10",PASS,registry; feature passports; freeze rationale,"All four are study-specific robust descriptors. No source identification, family scalar, or standalone reject threshold is permitted."
