gate,requirement,state,passed,evidence
G1,Contract and provenance,PASS,True,native decoded view and observational claim boundary pinned
G2,Numerical correctness,PASS,True,"determinism, exact reconstruction, missingness, and edge cases pass"
G3,Transformation behavior,PASS,True,"gain, polarity, time shift, native-view, and sample-rate behavior characterized"
G4,Target recovery,PASS,True,controlled and participant-disjoint real-speech injection recovery passes within registered scope
G5,Discriminant specificity,CONDITIONAL,True,tested controls pass; pause-boundary and periodic-speech limitations require exploratory roles
G6,Support and robustness,PASS,True,"exposure, uncertainty, merge, sample-rate, and parameter audits complete"
G7,Empirical plausibility,PASS,True,519 recordings; 2 dropout-positive and 0 frozen-positive recordings
G8,Reliability and redundancy,CONDITIONAL,True,exact reconstruction; zero-dominated persistence; same-ledger summaries flagged
G9,Event verification,N/A_NO_RETAINED_PRIMARY_EVENT_FEATURES,False,no QTEMP event detector is retained in the validated primary feature set
G10,Final family disposition,FINALIZED_NO_RETAINED_PRIMARY_FEATURES,True,implementation and negative/limited feature decisions frozen; no QTEMP feature enters validated primary set
