panel,title,stage,required,content,status
A,Controlled construct response,PREFLIGHT,True,RIR dose for tail excess/persistence/SRMR; known exponential slope recovery; censoring/saturation annotated,COMPLETE_PREFLIGHT
B,Discriminant specificity,PREFLIGHT,True,"RIR target versus stationary noise, changing floor, breath, rising/nondecay, delayed echo, SRMR noise",COMPLETE_PREFLIGHT
C,Transformation contract,PREFLIGHT,True,"Gain/polarity/DC/common shift, source-rate resampling, FLAC/Opus/AAC, SRMR duration behavior",COMPLETE_PREFLIGHT
D,"Support, availability, and censoring",COHORT,True,D1 2/3/4 support-policy availability; D2 status/missingness/censoring; D3 bootstrap precision versus valid pause support and SRMR availability versus strict-speech duration,PLANNED_COHORT
E,"Boundary, horizon, and floor sensitivity",COHORT,True,E1 whole-boundary deletion sensitivity; E2 availability agreement under offset/floor/horizon/threshold/frame/window variants; E3 paired value changes normalized by feature-specific empirical IQR for visualization only,PLANNED_COHORT
F,Empirical distributions,COHORT,True,Conditional tail features and broadly available SRMR separately; missingness/support/outliers/censoring,PLANNED_COHORT
G,Signal-linked examples,COHORT,True,"At least eight deterministic label-blind signal-derived strata; each example contains aligned waveform, spectrogram, and AC-RMS envelope with natural offset, early-tail, horizon, and independent-floor annotations; no causal source labels",PLANNED_COHORT
H,Reliability and redundancy,COHORT,True,"Participant-aware persistence, subject balancing, same-family correlations and pairwise support",PLANNED_COHORT
I,Event verification,,False,No retained discrete echo/event detector,N/A_NO_EVENT_DETECTOR
J,Quality-aware ML handoff,COHORT,True,"Availability, censoring, support, precision and status completeness; no generic threshold",PLANNED_COHORT
