family,measurement_version,figure_package_version,panel,figure_id,title,gate,validation_domain,applicability,status,figure_png,figure_svg,figure_pdf,source_data,caption,provenance_json,reviewer_note
QGAIN,qgain-v4.1.0,qgain-v4.1.0-figures-v1.0.0,A,A01_amplitude_modulation_dose,Within-segment IQR dose recovery,G4,Dose response,REQUIRED,PASS,figures/png/A01_amplitude_modulation_dose.png,figures/svg/A01_amplitude_modulation_dose.svg,figures/pdf/A01_amplitude_modulation_dose.pdf,source_data/A01_amplitude_modulation_dose.csv,captions/A01_amplitude_modulation_dose.md,provenance/A01_amplitude_modulation_dose.json,
QGAIN,qgain-v4.1.0,qgain-v4.1.0-figures-v1.0.0,A,A02_segment_offset_dose,Between-segment MAD dose recovery,G4,Dose response,REQUIRED,PASS,figures/png/A02_segment_offset_dose.png,figures/svg/A02_segment_offset_dose.svg,figures/pdf/A02_segment_offset_dose.pdf,source_data/A02_segment_offset_dose.csv,captions/A02_segment_offset_dose.md,provenance/A02_segment_offset_dose.json,
QGAIN,qgain-v4.1.0,qgain-v4.1.0-figures-v1.0.0,A,A03_linear_drift_dose,Absolute drift dose recovery,G4,Dose response,REQUIRED,PASS,figures/png/A03_linear_drift_dose.png,figures/svg/A03_linear_drift_dose.svg,figures/pdf/A03_linear_drift_dose.pdf,source_data/A03_linear_drift_dose.csv,captions/A03_linear_drift_dose.md,provenance/A03_linear_drift_dose.json,
QGAIN,qgain-v4.1.0,qgain-v4.1.0-figures-v1.0.0,B,B01_causal_nonidentifiability_parity,Causal non-identifiability,G5,Discriminant validity,REQUIRED,PASS,figures/png/B01_causal_nonidentifiability_parity.png,figures/svg/B01_causal_nonidentifiability_parity.svg,figures/pdf/B01_causal_nonidentifiability_parity.pdf,source_data/B01_causal_nonidentifiability_parity.csv,captions/B01_causal_nonidentifiability_parity.md,provenance/B01_causal_nonidentifiability_parity.json,"Passes by demonstrating and bounding non-identifiability, not by resolving cause."
QGAIN,qgain-v4.1.0,qgain-v4.1.0-figures-v1.0.0,B,B02_constant_rms_spectral_false_response,Constant-RMS spectral control,G5,Discriminant validity,REQUIRED,PASS,figures/png/B02_constant_rms_spectral_false_response.png,figures/svg/B02_constant_rms_spectral_false_response.svg,figures/pdf/B02_constant_rms_spectral_false_response.pdf,source_data/B02_constant_rms_spectral_false_response.csv,captions/B02_constant_rms_spectral_false_response.md,provenance/B02_constant_rms_spectral_false_response.json,
QGAIN,qgain-v4.1.0,qgain-v4.1.0-figures-v1.0.0,C,C01_uniform_gain_equivariance,Uniform gain equivariance,G3,Transformation behavior,REQUIRED,PASS,figures/png/C01_uniform_gain_equivariance.png,figures/svg/C01_uniform_gain_equivariance.svg,figures/pdf/C01_uniform_gain_equivariance.pdf,source_data/C01_uniform_gain_equivariance.csv,captions/C01_uniform_gain_equivariance.md,provenance/C01_uniform_gain_equivariance.json,
QGAIN,qgain-v4.1.0,qgain-v4.1.0-figures-v1.0.0,C,C02_uniform_gain_dynamics_invariance,Uniform gain invariance,G3,Transformation behavior,REQUIRED,PASS,figures/png/C02_uniform_gain_dynamics_invariance.png,figures/svg/C02_uniform_gain_dynamics_invariance.svg,figures/pdf/C02_uniform_gain_dynamics_invariance.pdf,source_data/C02_uniform_gain_dynamics_invariance.csv,captions/C02_uniform_gain_dynamics_invariance.md,provenance/C02_uniform_gain_dynamics_invariance.json,
QGAIN,qgain-v4.1.0,qgain-v4.1.0-figures-v1.0.0,C,C03_codec_roundtrip_sensitivity,Codec round-trip sensitivity,G3,Transformation behavior,REQUIRED,PASS,figures/png/C03_codec_roundtrip_sensitivity.png,figures/svg/C03_codec_roundtrip_sensitivity.svg,figures/pdf/C03_codec_roundtrip_sensitivity.pdf,source_data/C03_codec_roundtrip_sensitivity.csv,captions/C03_codec_roundtrip_sensitivity.md,provenance/C03_codec_roundtrip_sensitivity.json,
QGAIN,qgain-v4.1.0,qgain-v4.1.0-figures-v1.0.0,C,C04_resampling_sensitivity,Resampling sensitivity,G3,Transformation behavior,REQUIRED,PASS,figures/png/C04_resampling_sensitivity.png,figures/svg/C04_resampling_sensitivity.svg,figures/pdf/C04_resampling_sensitivity.pdf,source_data/C04_resampling_sensitivity.csv,captions/C04_resampling_sensitivity.md,provenance/C04_resampling_sensitivity.json,
QGAIN,qgain-v4.1.0,qgain-v4.1.0-figures-v1.0.0,D,D01_support_threshold_contract,Support threshold contract,G6,Support and uncertainty,REQUIRED,PASS,figures/png/D01_support_threshold_contract.png,figures/svg/D01_support_threshold_contract.svg,figures/pdf/D01_support_threshold_contract.pdf,source_data/D01_support_threshold_contract.csv,captions/D01_support_threshold_contract.md,provenance/D01_support_threshold_contract.json,
QGAIN,qgain-v4.1.0,qgain-v4.1.0-figures-v1.0.0,D,D02_guarded_support_distribution,Cohort guarded-speech support,G6/G7,Support and uncertainty,REQUIRED,PASS,figures/png/D02_guarded_support_distribution.png,figures/svg/D02_guarded_support_distribution.svg,figures/pdf/D02_guarded_support_distribution.pdf,source_data/D02_guarded_support_distribution.csv,captions/D02_guarded_support_distribution.md,provenance/D02_guarded_support_distribution.json,
QGAIN,qgain-v4.1.0,qgain-v4.1.0-figures-v1.0.0,D,D03_interval_count_distribution,Cohort guarded-speech interval count,G6/G7,Support and uncertainty,REQUIRED,PASS,figures/png/D03_interval_count_distribution.png,figures/svg/D03_interval_count_distribution.svg,figures/pdf/D03_interval_count_distribution.pdf,source_data/D03_interval_count_distribution.csv,captions/D03_interval_count_distribution.md,provenance/D03_interval_count_distribution.json,
QGAIN,qgain-v4.1.0,qgain-v4.1.0-figures-v1.0.0,D,D04_availability_and_support_tiers,Availability and support tiers,G6/G7,Support and uncertainty,REQUIRED,PASS,figures/png/D04_availability_and_support_tiers.png,figures/svg/D04_availability_and_support_tiers.svg,figures/pdf/D04_availability_and_support_tiers.pdf,source_data/D04_availability_and_support_tiers.csv,captions/D04_availability_and_support_tiers.md,provenance/D04_availability_and_support_tiers.json,
QGAIN,qgain-v4.1.0,qgain-v4.1.0-figures-v1.0.0,E,E01_segment_deletion_sensitivity,Delete-one-segment sensitivity,G6,Reliability and robustness,REQUIRED,PASS,figures/png/E01_segment_deletion_sensitivity.png,figures/svg/E01_segment_deletion_sensitivity.svg,figures/pdf/E01_segment_deletion_sensitivity.pdf,source_data/E01_segment_deletion_sensitivity.csv,captions/E01_segment_deletion_sensitivity.md,provenance/E01_segment_deletion_sensitivity.json,
QGAIN,qgain-v4.1.0,qgain-v4.1.0-figures-v1.0.0,E,E02_boundary_guard_sensitivity,Boundary-guard sensitivity,G6,Reliability and robustness,REQUIRED,PASS,figures/png/E02_boundary_guard_sensitivity.png,figures/svg/E02_boundary_guard_sensitivity.svg,figures/pdf/E02_boundary_guard_sensitivity.pdf,source_data/E02_boundary_guard_sensitivity.csv,captions/E02_boundary_guard_sensitivity.md,provenance/E02_boundary_guard_sensitivity.json,
QGAIN,qgain-v4.1.0,qgain-v4.1.0-figures-v1.0.0,E,E03_role_specific_robustness_summary,Role-specific robustness,G6/G10,Reliability and robustness,REQUIRED,PASS,figures/png/E03_role_specific_robustness_summary.png,figures/svg/E03_role_specific_robustness_summary.svg,figures/pdf/E03_role_specific_robustness_summary.pdf,source_data/E03_role_specific_robustness_summary.csv,captions/E03_role_specific_robustness_summary.md,provenance/E03_role_specific_robustness_summary.json,
QGAIN,qgain-v4.1.0,qgain-v4.1.0-figures-v1.0.0,F,F01_qgain_typical_speech_level_dbfs_distribution,Distribution of Typical speech level,G7,Empirical plausibility,REQUIRED,PASS,figures/png/F01_qgain_typical_speech_level_dbfs_distribution.png,figures/svg/F01_qgain_typical_speech_level_dbfs_distribution.svg,figures/pdf/F01_qgain_typical_speech_level_dbfs_distribution.pdf,source_data/F01_qgain_typical_speech_level_dbfs_distribution.csv,captions/F01_qgain_typical_speech_level_dbfs_distribution.md,provenance/F01_qgain_typical_speech_level_dbfs_distribution.json,
QGAIN,qgain-v4.1.0,qgain-v4.1.0-figures-v1.0.0,F,F02_qgain_within_segment_iqr_db_distribution,Distribution of Within-segment IQR,G7,Empirical plausibility,REQUIRED,PASS,figures/png/F02_qgain_within_segment_iqr_db_distribution.png,figures/svg/F02_qgain_within_segment_iqr_db_distribution.svg,figures/pdf/F02_qgain_within_segment_iqr_db_distribution.pdf,source_data/F02_qgain_within_segment_iqr_db_distribution.csv,captions/F02_qgain_within_segment_iqr_db_distribution.md,provenance/F02_qgain_within_segment_iqr_db_distribution.json,
