gate,final_status,final_basis
G1,PASS,"Construct, input, signal-view, frozen-source and provenance contracts are complete."
G2,PASS,All three features reconstruct for 519/519 recordings within <=2e-15 CSV round-trip tolerance.
G3,PASS_WITH_QUALIFICATION,Native PCM transformations behave as specified; resampling and lossy encoding can erase evidence.
G4,PASS_WITH_QUALIFICATION,Controlled hard clipping has ordered response and perfect precision; smallest burdens are conservatively detected.
G5,PASS_WITH_SCOPE_LIMIT,Specificity controls pass within the hard-plateau construct; broad nonlinear-distortion claims remain prohibited.
G6,PASS_WITH_QUALIFICATION,"Occurrence is robust to declared variants, but threshold-adjacent events and sparse rate uncertainty must remain visible."
G7,PASS_WITH_QUALIFICATION,"All recordings are available and empirical behavior is plausible, but only six recordings are positive."
G8,PASS_WITH_MAJOR_QUALIFICATION,Outputs are related views; positive-part repeatability is not estimable and positive occurrence agreement is limited.
G9,PASS_WITH_QUALIFICATION,The complete 60-item review meets point-estimate gates; labels are AI-assisted and 13 rejected candidates are ambiguous.
G10,PASS,"Feature-specific decisions, figures, support-aware handoff, passports and atomic freeze contracts are complete."
