panel,title,required_content,stage_status,required_bundle
A,Construct response,"Hard-clipping dose, exact truth precision/recall, rail/sub-rail response",Preflight complete,300-dpi PNG; editable SVG; PDF; source CSV; caption; provenance JSON
B,Discriminant specificity,"Natural extrema, impulses, low-level quantization, coarse bit depth, soft-scope controls",Preflight complete,300-dpi PNG; editable SVG; PDF; source CSV; caption; provenance JSON
C,Transformation contract,"Polarity, time shift, post-clip attenuation, lossless PCM, resampling, Opus/AAC",Preflight complete,300-dpi PNG; editable SVG; PDF; source CSV; caption; provenance JSON
D1,Availability and exposure,"Finite task-span duration, complete frames, support tiers, statuses",Cohort pending,300-dpi PNG; editable SVG; PDF; source CSV; caption; provenance JSON
D2,Occurrence and sparsity,"Valid-zero mass, positive recordings, plateau and episode counts",Cohort pending,300-dpi PNG; editable SVG; PDF; source CSV; caption; provenance JSON
D3,Native geometry,"Sample rate, channel count, bit depth, codec, quantization contract, acquisition vintage",Cohort pending,300-dpi PNG; editable SVG; PDF; source CSV; caption; provenance JSON
E1,Detector-parameter sensitivity,"Amplitude floor, plateau duration, flatness, context, edge and terminality thresholds",Cohort pending,300-dpi PNG; editable SVG; PDF; source CSV; caption; provenance JSON
E2,Episode grouping sensitivity,"10/20/30/50-ms merge gaps, event-count/rate stability, occurrence agreement",Cohort pending,300-dpi PNG; editable SVG; PDF; source CSV; caption; provenance JSON
E3,Sparse-burden and event-deletion sensitivity,"Absolute clipped ms/min, delete-one-plateau/episode influence, Poisson uncertainty",Cohort pending,300-dpi PNG; editable SVG; PDF; source CSV; caption; provenance JSON
F,Empirical distributions,"Feature zero masses, positive-part distributions, support and missingness",Cohort pending,300-dpi PNG; editable SVG; PDF; source CSV; caption; provenance JSON
G,Signal-linked gallery,At least eight deterministic label-blind examples plus complete accepted-event review package,Cohort pending,300-dpi PNG; editable SVG; PDF; source CSV; caption; provenance JSON
H1,Repeated-recording persistence,Occurrence agreement and positive-part Spearman/ICC with pairwise n,Cohort pending,300-dpi PNG; editable SVG; PDF; source CSV; caption; provenance JSON
H2,Related-view redundancy,"Frame, event-rate, and sample burden correlations and non-independence",Cohort pending,300-dpi PNG; editable SVG; PDF; source CSV; caption; provenance JSON
H3,Participant weighting and clustering,Participant-balanced versus recording-weighted summaries and clustering,Cohort pending,300-dpi PNG; editable SVG; PDF; source CSV; caption; provenance JSON
I,Event verification,"Accepted/rejected/valid-zero adjudication, precision and review completeness",Applicable; cohort pending,300-dpi PNG; editable SVG; PDF; source CSV; caption; provenance JSON
J,ML handoff,Non-imputed zero/missing/status/exposure/count/Poisson/version/provenance contract,Cohort pending,300-dpi PNG; editable SVG; PDF; source CSV; caption; provenance JSON
