gate,status,evidence
G1,PASS,reviewed contract and registry
G2,PASS,"formula, reconstruction, strict-speech contract"
G3,PASS,"gain, polarity, DC, shift, resampling, codec"
G4,PASS,"noise, factorial, AM, flatness, hum dose"
G5,CONDITIONAL,specificity plus documented periodic confounds
G6,PREFLIGHT_PASS,floor/minimum support; cohort calibration pending
G7,PENDING_COHORT,empirical distributions and examples
G8,PENDING_COHORT,"persistence, participant weighting, redundancy"
G9,N/A,no retained event detector
G10,PENDING,feature decisions and freeze after corrected cohort
